company_name,city,state,pin_code,company_type,contact_number,company_website
" Lakozy Toyota, Mumbai.  ",Mumbai,Maharashtra,400059, SMEs, (022) 61927777,"<a href=""http://www.lakozytoyota.com""  target=""_blank"">www.lakozytoyota.com</a>"
" Lakozy Toyota, Andheri (East)  ",Mumbai,Maharashtra,400059, Industry Top, (022) 61927777,"<a href=""http://www.lakozytoyota.com""  target=""_blank"">www.lakozytoyota.com</a>"
 Lakozy Toyota  ,Mumbai,Maharashtra,401208, SMEs, (022) 61927777,Website Not Found
 Lakozy Motors Pvt Ltd  ,Mumbai,Maharashtra,400058, SMEs, (022) 09820550645,"<a href=""http://www.lakozytoyota.com""  target=""_blank"">www.lakozytoyota.com</a>"
 Lakhia Automobiles  ,Ahmedabad,Gujarat,380028, SMEs, (079) 25323254,Website Not Found
 Lakhani Rubber Works Pvt Ltd  ,Faridabad,Haryana,121005, SMEs, (0129) 4265555,"<a href=""http://www.lakhanirubber.com""  target=""_blank"">www.lakhanirubber.com</a>"
" Lakeview Honda, Hubli  ",Hubli,Karnataka,580031, Industry Top, (0836) 2278837  6577647,Website Not Found
" Lahoria Traders , Rudrapur  ",Rudrapur,Uttaranchal,263153, SMEs, (05944) 243609,Website Not Found
 Lahoria Traders  ,Rudrapur,Uttaranchal,263153, SMEs, (05944) 243609,Website Not Found
 Lahoria Hero  ,Rudrapur,Uttaranchal,263153, Industry Top, (05944) 243609  9837500707,"<a href=""http://www.lahoriahero.heromotocorpdealers.com""  target=""_blank"">www.lahoriahero.heromotocorpdealers.com</a>"
 Ladian Motors  ,Ropar,Punjab,140001, Industry Top, (01881) 227862,Website Not Found
 L.V.Fintrade Pvt Ltd  ,Visakhapatnam,AndhraPradesh,530020, SMEs, (0891) 9951647774   9848964700,Website Not Found
 L.D. Joshi & Company  ,Lucknow,UttarPradesh,226016, SMEs, (0522) 9936790189,Website Not Found
 L R Auto  ,Raipur,Chattisgarh,492001, SMEs, (0771) 6554440,Website Not Found
 L M J Services Ltd  ,Pali,Rajasthan,306401, SMEs, (02932) 256177,"<a href=""http://lmjservicesltd.com""  target=""_blank"">lmjservicesltd.com</a>"
 L G Balakrishnan & Bros Ltd  ,Coimbatore,TamilNadu,641006, India's 501-1000, (0422) 2532325,"<a href=""http://www.lgb.co.in""  target=""_blank"">www.lgb.co.in</a>"
 KVR Motors Cars  ,Kozhikode,Kerala,673001, SMEs, (0495) 8129766222,Website Not Found
 KVR Motors  ,Kozhikode,Kerala,673005, Industry Top, (0495) 2766277  2766779,"<a href=""http://www.kvrmotors.com""  target=""_blank"">www.kvrmotors.com</a>"
